"","logFC.stage9","logFC.stage15","logFC.stage21","logFC.stage27","logFC.stage33","logFC.stage40","AveExpr","PValue","FDR","GeneName"
"P22413.ENPP1",-1.63771792986856,-1.97631233954102,-1.35761255524779,-1.55804852161782,-1.84649093218862,-1.71638235221147,11.8844111079289,0.00396101211296996,0.00505704305633019,"ENPP1"
"P22466.GAL",0.533183014176536,-0.265596757322284,-0.518102984931307,-0.161501126148231,-0.63289526635859,-0.270821503396007,11.5586925305692,0.505272047466183,0.516840726904459,"GAL"
"P22532.SPRR2D",-1.33737821828296,-1.08725662631199,0.225802527790465,-1.00460964341329,-3.10910792734107,-1.42412596356565,13.3184161934267,0.381869222870044,0.394348609238346,"SPRR2D"
"P22626.HNRNPA2B1",1.5148111183694,1.46281042185369,1.00962007663786,0.742041685131735,0.599874602542597,0.221658707248898,19.842369414088,3.69608294435542e-06,7.19664121236381e-06,"HNRNPA2B1"
"P22670.RFX1",-1.23427077234882,-0.923182163189222,-1.14593042727675,-1.47590930033273,-1.46014318115013,-1.65135506625129,12.6181601534536,1.58953622143916e-06,3.26578358467582e-06,"RFX1"
"P22681.CBL",0.104591969497703,0.290484693741062,0.184838051334633,0.0905738749396656,0.0154147197547691,-0.0442387574994655,16.5538229939482,0.00666657276016364,0.00827477645915693,"CBL"
"P22694.PRKACB",0.95607624239441,1.71989500220993,2.35269943804283,2.67644813446106,2.61380091839003,2.52037605531753,14.8285287366612,3.85480821497878e-09,1.27405344982819e-08,"PRKACB"
"P22695.UQCRC2",0.943489499131535,1.03503183132839,1.1925057647809,1.43173773460258,1.59890616634589,1.83823680369447,17.3593644116683,3.12275816309113e-09,1.05856762849316e-08,"UQCRC2"
"P22735.TGM1",-0.733791987613756,0.637282377466299,-0.0286548589313185,0.170506861712695,-0.189117137744508,-0.0665939117305144,14.2739708578932,0.130056088607408,0.140323674550098,"TGM1"
"P22830.FECH",0.784627514511301,1.40150041382896,1.61587401811206,1.78469996235956,2.0599568465987,2.2194137988374,14.3796979773084,1.84658491063328e-14,4.11071376325854e-13,"FECH"
